DateTime,BTC,ETH,USDT,BNB,SOL,Others
2018.02.25 ,1.65407E+11,82119104314,2227758425,906298736.7,0,1.80561E+11
2018.03.04 ,1.94289E+11,83877819100,2217572950,1010655234,0,1.81922E+11
2018.03.11 ,1.49716E+11,67235677482,2224830203,757333032.2,0,1.41829E+11
2018.03.18 ,1.33547E+11,54200091109,2228614505,886909640.7,0,1.16844E+11
2018.03.25 ,1.45882E+11,51431555387,2287423005,1300568742,0,1.28985E+11
2018.04.01 ,1.18705E+11,39144659014,2277309793,1104193689,0,1.0264E+11
2018.04.08 ,1.17392E+11,38065416618,2290638075,1454721303,0,1.0077E+11
2018.04.15 ,1.35812E+11,49696276125,2278695801,1546025895,0,1.29706E+11
2018.04.22 ,1.51651E+11,59985528067,2297004416,1522941114,0,1.70403E+11
2018.04.29 ,1.58928E+11,67782362149,2414399396,1729339692,0,1.97968E+11
2018.05.06 ,1.67541E+11,81000235560,2257858453,1637897061,0,2.14808E+11
2018.05.13 ,1.45022E+11,68304030966,2208214046,1483453712,0,1.73034E+11
2018.05.20 ,1.40556E+11,69472771049,2510830718,1636510284,0,1.62004E+11
2018.05.27 ,1.25575E+11,58667599538,2511545924,1458098684,0,1.40635E+11
2018.06.03 ,1.30288E+11,59026063940,2487158365,1674348367,0,1.50075E+11
2018.06.10 ,1.28128E+11,59420125574,2530640243,1816513996,0,1.43647E+11
2018.06.17 ,1.11913E+11,50005817442,2619828877,1799459289,0,1.13729E+11
2018.06.24 ,1.0548E+11,47601899173,2604208302,1775725411,0,99908065816
2018.07.01 ,1.09797E+11,45709527739,2699893268,1673692772,0,97861482356
2018.07.08 ,1.17522E+11,49477697956,2619159113,1641955048,0,1.07088E+11
2018.07.15 ,1.07573E+11,43890752259,2713583376,1378565299,0,93969303131
2018.07.22 ,1.27308E+11,46630921234,2660382025,1164183028,0,1.03823E+11
2018.07.29 ,1.40951E+11,47149571428,2498122109,1394301336,0,1.05795E+11
2018.08.05 ,1.20869E+11,41192725336,2432197417,1323679385,0,87975317512
2018.08.12 ,1.08106E+11,32489149688,2421279979,1116316004,0,68404917219
2018.08.19 ,1.10583E+11,29984192043,2736760882,947620321.8,0,68361524687
2018.08.26 ,1.16387E+11,28386921153,2801107289,966035368.2,0,68927203006
2018.09.02 ,1.23981E+11,30046692957,2733544310,1092034445,0,78945864600
2018.09.09 ,1.07397E+11,20203492381,2762867707,912022738.4,0,61965784372
2018.09.16 ,1.12888E+11,22721984527,2768526045,966242410.9,0,64085020333
2018.09.23 ,1.16059E+11,24611501925,2795653692,1155118102,0,79787903776
2018.09.30 ,1.14234E+11,23657737549,2810691617,1174837340,0,80304987020
2018.10.07 ,1.14075E+11,23087109195,2800634329,1221312395,0,76689149597
2018.10.14 ,1.08921E+11,20479177355,2673590361,1121155809,0,68719921515
2018.10.21 ,1.12492E+11,21092979492,2043920962,1276303840,0,72767898093
2018.10.28 ,1.12443E+11,21031676023,1917218503,1265404063,0,72493746947
2018.11.04 ,1.10494E+11,20612531019,1774680066,1246768788,0,72867900254
2018.11.11 ,1.11403E+11,21911583370,1771453282,1251278886,0,77135198053
2018.11.18 ,96636067731,17986209056,1730455044,1012190702,0,66054949199
2018.11.25 ,67495909377,11697896649,1767539108,665116455.2,0,44518136219
2018.12.02 ,73103624622,12246074288,1856127403,689724736.8,0,48067930484
2018.12.09 ,60481004016,9542449873,1888186415,616644937.8,0,37945027041
2018.12.16 ,56392207667,8769607065,1865740610,597777253.6,0,34465352307
2018.12.23 ,70116295670,12190954873,1884938320,775824602.2,0,47123307845
2018.12.30 ,66706731184,14325112812,1914864923,764203723.3,0,45481550059
2019.01.06 ,67006053968,16237236866,1900206476,793710266.3,0,45491734494
2019.01.13 ,63951617854,13137238653,1968418157,781515697.2,0,42235384655
2019.01.20 ,65159494467,13019799098,2050228574,858606695,0,43161077838
2019.01.27 ,63093875788,12184594599,2038602966,904623729.5,0,41959864596
2019.02.03 ,61588918670,11567052751,2022768281,889494818.1,0,39687140295
2019.02.10 ,64389753660,12513573148,2023520027,1250272710,0,41593020643
2019.02.17 ,63736028656,12920355294,2030511100,1289540696,0,41000589466
2019.02.24 ,72772318881,16681863329,2039149978,1524397301,0,48113797054
2019.03.03 ,67850503782,14164562612,2040316121,1672266808,0,44676078510
2019.03.10 ,69724795688,14532501838,2011641529,2056489700,0,46864695709
2019.03.17 ,71210263478,14972861114,2023048350,2271406545,0,50235644112
2019.03.24 ,71044348339,14573095736,2036815721,2151674294,0,50951107237
2019.03.31 ,72360880278,14993087938,2029665840,2381796011,0,52300707126
2019.04.07 ,89207416875,17527453359,2085680195,2689463581,0,65206438368
2019.04.14 ,89840955122,17367737102,2434703204,2639514040,0,60428447999
2019.04.21 ,94235418171,18381397205,2584725072,3515050284,0,62128593515
2019.04.28 ,93090559253,16758187937,2831470494,3150273130,0,55426680654
2019.05.05 ,1.0304E+11,17386994776,2780697168,3233950438,0,58307918232
2019.05.12 ,1.27325E+11,20628252727,2779144867,2964098973,0,63234232338
2019.05.19 ,1.28743E+11,24817038182,2826226960,3997394082,0,68191402931
2019.05.26 ,1.42731E+11,26723606381,3066381059,4924654282,0,73678875185
2019.06.02 ,1.52071E+11,28197576197,3145380171,4668534839,0,83097146821
2019.06.09 ,1.41196E+11,26149304837,3253191274,4526576418,0,79145351478
2019.06.16 ,1.57072E+11,28625941299,3458023901,4625271041,0,83517330162
2019.06.23 ,1.90066E+11,33035829906,3520673454,5341330586,0,92868333722
2019.06.30 ,2.12196E+11,34052073190,3590222819,4974021524,0,88377543368
2019.07.07 ,1.9912E+11,30689153148,3701709406,4605459370,0,81546650461
2019.07.14 ,2.03023E+11,28783299572,3905162368,4445058407,0,71615703741
2019.07.21 ,1.91923E+11,24456088024,4050251566,4797501195,0,68472226570
2019.07.28 ,1.69377E+11,22247512892,4018636103,4320288836,0,62917829625
2019.08.04 ,1.93265E+11,23868290194,4044808202,4341252054,0,65015598907
2019.08.11 ,2.02577E+11,22152221748,4041818471,4613679897,0,60463109210
2019.08.18 ,1.82964E+11,19992339542,4043891337,4281199736,0,54312230888
2019.08.25 ,1.8172E+11,20504770365,4058129081,4118754227,0,55142026643
2019.09.01 ,1.72383E+11,18548427164,4021478251,3304959016,0,51312520228
2019.09.08 ,1.88473E+11,19219420861,4071110602,3508160633,0,52574742342
2019.09.15 ,1.85785E+11,20288460966,4111563122,3278128144,0,52827438894
2019.09.22 ,1.79904E+11,23264134521,4115829246,3275847475,0,55848283224
2019.09.29 ,1.48263E+11,18871654652,4126940658,2470160216,0,44942452086
2019.10.06 ,1.46549E+11,19059980501,4113996157,2447631178,0,46039780464
2019.10.13 ,1.49869E+11,19519081974,4126320916,2672886894,0,47656893092
2019.10.20 ,1.4399E+11,18727930838,4135824474,2826938327,0,47819611665
2019.10.27 ,1.6654E+11,19512025260,4114695515,2935460691,0,50986872136
2019.11.03 ,1.68626E+11,19973728732,4125800069,3156075841,0,54038958636
2019.11.10 ,1.58848E+11,20057352388,4111546127,3069491115,0,53695897005
2019.11.17 ,1.54328E+11,19902777449,4135345056,3151680143,0,52672386426
2019.11.24 ,1.33695E+11,16699803584,4154438752,2553896284,0,45432767122
2019.12.01 ,1.3683E+11,16553240368,4115674787,2439716224,0,45262056334
2019.12.08 ,1.36651E+11,16194266412,4141884818,2437896970,0,44783168002
2019.12.15 ,1.28818E+11,15557850972,4130847960,2253189689,0,43143008101
2019.12.22 ,1.30214E+11,13968963972,4135072141,2081692610,0,40088604514
2019.12.29 ,1.32297E+11,13998262898,4122083608,2132158326,0,40623080333
2020.01.05 ,1.3462E+11,14772145426,4134451585,2160415212,0,41914003819
2020.01.12 ,1.45543E+11,15602163663,4637102543,2318576010,0,45811386753
2020.01.19 ,1.62127E+11,19171231642,4640900241,2766710668,0,55819123733
2020.01.26 ,1.51963E+11,17612674205,4653436503,2636486780,0,52735516453
2020.02.02 ,1.70741E+11,20103729621,4647211835,2838888330,0,60784375556
2020.02.09 ,1.79461E+11,24461176140,4637776474,3382766443,0,69425415906
2020.02.16 ,1.80292E+11,29021372682,4650789294,3761131984,0,73242678083
2020.02.23 ,1.76143E+11,28799181069,4653215540,3422928538,0,67166201768
2020.03.01 ,1.56932E+11,24178036765,4663074968,3020098680,0,56222994368
2020.03.08 ,1.62765E+11,26005406118,4657554753,3138672544,0,59811568073
2020.03.15 ,94487825437,13537446267,4649961777,1578643172,0,34494665716
2020.03.22 ,1.13048E+11,14619353871,4657922384,1879211576,0,39914412467
2020.03.29 ,1.14066E+11,14454229087,4632966970,1898674632,0,40709764021
2020.04.05 ,1.25786E+11,16048869078,6187645163,2148235653,0,42719849608
2020.04.12 ,1.25655E+11,17498032578,6342828317,2146805866,0,44295618092
2020.04.19 ,1.33083E+11,20690356522,6362229064,2583920842,0,47371823502
2020.04.26 ,1.388E+11,21619614419,6396211526,2537274868,0,48984688270
2020.05.03 ,1.65015E+11,23852894912,6385165409,2735350821,0,54168214230
2020.05.10 ,1.76024E+11,23399301296,6393948071,2619087355,0,53982916485
2020.05.17 ,1.7194E+11,22237181362,8819574332,2494023987,0,56237737501
2020.05.24 ,1.69078E+11,23117885487,8838182532,2572955472,0,52469469205
2020.05.31 ,1.78325E+11,26941236981,8806667285,2754234383,0,56572865633
2020.06.07 ,1.77477E+11,26908917243,9189997022,2727679733,10767457.3,58017952584
2020.06.14 ,1.7443E+11,26597319162,9206643741,2616792794,10542172.28,56661391140
2020.06.21 ,1.72418E+11,25609587765,9208720911,2505555777,11219045.44,56269192561
2020.06.28 ,1.66741E+11,24862263448,9238007625,2362889902,12311382.75,53466938975
2020.07.05 ,1.67759E+11,25500469870,9160891839,2411643864,13430143.1,56336554973
2020.07.12 ,1.70305E+11,26749484535,9196759497,2739640923,15923631.34,63527335362
2020.07.19 ,1.68828E+11,26324400921,9173868443,2662168905,16679738.71,64682627541
2020.07.26 ,1.785E+11,34002682189,9977104655,2852556882,21469692.43,69643538334
2020.08.02 ,2.17162E+11,43234970338,9952996251,3113313350,26347988.8,79574705281
2020.08.09 ,2.17069E+11,44468181863,10009613987,3302946310,42700112.86,83555429850
2020.08.16 ,2.1904E+11,48604172042,10004307331,3320979624,93120172.8,91920431135
2020.08.23 ,2.15627E+11,44469081756,9997582214,3203879893,95101959.41,91292228817
2020.08.30 ,2.12317E+11,44936714530,10025643534,3321931654,128017268,92684168828
2020.09.06 ,1.88161E+11,37499006995,14151947510,2797971498,88025996.18,78966908625
2020.09.13 ,1.93253E+11,43624737350,14708557413,4101633575,117202017.9,88808936150
2020.09.20 ,2.05026E+11,43438624231,15234079578,3925380716,113175900.5,86400767045
2020.09.27 ,1.98609E+11,40005077720,15304202316,3776637307,121256854.2,83857821990
2020.10.04 ,1.95262E+11,39118072549,15597787542,4074403911,104042919.8,80844472816
2020.10.11 ,2.09117E+11,41898254385,15723593529,4102925182,101957019.4,86969026059
2020.10.18 ,2.10314E+11,41688656883,15818260294,4366886174,95875274.88,84247165726
2020.10.25 ,2.42756E+11,46660158881,16250799905,4423338193,85177252.6,87893897110
2020.11.01 ,2.54826E+11,43770077536,16657595743,4097437477,70667639.83,81681189747
2020.11.08 ,2.74068E+11,49186747591,17153053542,3976253787,92667467.66,84375375176
2020.11.15 ,2.97699E+11,52036034175,17838726485,4028625416,87999473.33,89026698200
2020.11.22 ,3.45777E+11,62576823369,18353112849,4411064764,110000496,1.10192E+11
2020.11.29 ,3.29155E+11,61285025175,19057682068,4222530601,86850260.09,1.17106E+11
2020.12.06 ,3.56378E+11,68362296000,19645832618,4298510450,91730750.38,1.19599E+11
2020.12.13 ,3.50134E+11,64800293363,19826514950,4085037510,69083082.42,1.11193E+11
2020.12.20 ,4.41913E+11,74813113389,20119999186,4795467991,77536688.15,1.31111E+11
